Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Artist_Track
Bee Gees - Stayin' Alive (Official Music Video),BeeGeesVEVO,281066254.0,2720170.0,71642.0,True,True,134009247.0,Bee Gees-Stayin' Alive
"Luis Miguel - ""Ahora te puedes marchar"" (Video Oficial)",Warner Music México,562212517.0,2366696.0,61907.0,True,True,473691093.0,Luis Miguel-Ahora Te Puedes Marchar
A.R. Rahman - Raanjhanaa Best Lyric Video|Sonam Kapoor|Dhanush|Jaswinder|Shiraz,SonyMusicIndiaVEVO,26504186.0,311358.0,3457.0,True,True,52826792.0,A.R. Rahman-Raanjhanaa
Oasis - Stand By Me (Official HD Video),OasisVEVO,1097539.0,16688.0,677.0,True,True,,Oasis-Stand By Me - Remastered
Bob Marley - Is This Love,Reggae Life,325433542.0,2096610.0,53613.0,False,False,617214277.0,Bob Marley & The Wailers-Could You Be Loved
Creedence Clearwater Revival - Bad Moon Rising (Official Lyric Video),CCRVEVO,51013150.0,280742.0,6094.0,True,True,568442546.0,Creedence Clearwater Revival-Bad Moon Rising
Jack Johnson - Gone(Studio live),lizardsdr,1702808.0,4464.0,431.0,False,False,42819487.0,Jack Johnson-Gone
Muse - Madness,Muse,162282411.0,833060.0,38802.0,True,True,264508776.0,Muse-Madness
Kalank Title Track - Full Video | Madhuri Sonakshi Alia Sanjay Aditya Varun | Arijit | Pritam,Zee Music Company,73814491.0,722644.0,15817.0,True,True,114548526.0,Pritam-Kalank (Title Track)
The Cure - In Between Days,TheCureVEVO,39952599.0,228863.0,6115.0,True,True,,The Cure-In Between Days - 2006 Remaster
KORDHELL - MURDER IN MY MIND (MUSIC VIDEO),KORDHELL,25310219.0,366485.0,4138.0,True,True,262426709.0,Kordhell-Murder In My Mind
Die drei Fragezeichen - Das Geheimnis der Geisterinsel,Serien Schätze de,21912.0,256.0,5.0,False,False,,Die drei ???-Teil 8 - Das Geheimnis der Geisterinsel
Pink Floyd - Money (Official Music Video),Pink Floyd,27865859.0,217345.0,5603.0,True,True,,Pink Floyd-Money
No One (Acoustic),Alicia Keys - Topic,4242647.0,41707.0,69.0,True,True,133837601.0,Alicia Keys-No One - Acoustic
P!nk - True Love (Official Video) ft. Lily Allen,PinkVEVO,149977268.0,938718.0,31361.0,True,True,170002964.0,P!nk-True Love (feat. Lily Allen)
Britney Spears - Oops!...I Did It Again (Official HD Video),BritneySpearsVEVO,398575571.0,2519778.0,100903.0,True,True,581869840.0,Britney Spears-Oops!...I Did It Again
Pink Floyd - Breathe (In The Air) [Live in HD],Pink Floyd,486448.0,8034.0,238.0,True,True,,Pink Floyd-Breathe (In the Air)
Don Toliver - No Idea [Official Music Video],Don Toliver,284033349.0,3473758.0,55136.0,True,True,682479132.0,Don Toliver-No Idea
blink-182 - Feeling This (Official Video),blink182VEVO,68581920.0,264005.0,15058.0,True,True,138444397.0,blink-182-Feeling This
The Notorious B.I.G. - Big Poppa (Official Music Video) [HD],The Notorious B.I.G.,401940354.0,3381467.0,75843.0,True,True,720731532.0,The Notorious B.I.G.-Big Poppa - 2005 Remaster
Don Toliver - Drugs N Hella Melodies (feat. Kali Uchis) [Official Music Video],Don Toliver,19221097.0,390046.0,7678.0,True,True,77395440.0,Don Toliver-Drugs N Hella Melodies (feat. Kali Uchis)
The Offspring - The Kids Aren't Alright (Official Music Video),OffspringVEVO,220366333.0,1286137.0,20978.0,True,True,588993491.0,The Offspring-The Kids Aren't Alright
Bon Jovi - Wanted Dead Or Alive (Official Music Video),BonJoviVEVO,177513233.0,872881.0,31405.0,True,True,335808355.0,Bon Jovi-Wanted Dead Or Alive
"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",UsherVEVO,766892796.0,5030572.0,101986.0,True,True,942052772.0,Usher-Yeah! (feat. Lil Jon & Ludacris)
Eden Muñoz - Oficialmente en Soltería (Video Oficial),Eden Muñoz,7800352.0,64159.0,986.0,True,True,18235423.0,Eden Muñoz-Oficialmente en Soltería
Chris Brown - Under The Influence (Official Video),ChrisBrownVEVO,83793080.0,1357047.0,42849.0,True,True,36852704.0,Chris Brown-Under The Influence (Body Language)
"Elton John, Britney Spears - Hold Me Closer (Official Video)",EltonJohnVEVO,15181510.0,165238.0,6585.0,True,True,190102352.0,Britney Spears-Hold Me Closer
Eden Muñoz - Bájale (Video Oficial),Eden Muñoz,12118894.0,95297.0,1082.0,True,True,24719283.0,Eden Muñoz-Bájale
Madonna - Hung Up (Official Video) [HD],Madonna,411386702.0,2131722.0,91173.0,True,True,297817394.0,Madonna-Hung Up
The Notorious B.I.G. - Hypnotize (Official Music Video) [4K],The Notorious B.I.G.,89884180.0,611459.0,18980.0,True,True,829984314.0,The Notorious B.I.G.-Hypnotize - 2014 Remaster
Ludacris - Stand Up (Official Music Video) ft. Shawnna,LudacrisVEVO,28872809.0,168436.0,6036.0,True,True,47315546.0,Ludacris-Stand Up
"Dr. Dre - Kush ft. Snoop Dogg, Akon",DrDreVEVO,194414043.0,968198.0,61187.0,True,True,118973790.0,Dr. Dre-Kush - Main
Alejandro Fernández - Sé Que Te Duele ft. Morat (Video Oficial),AFernandezVEVO,204885566.0,627478.0,9186.0,True,True,283126164.0,Alejandro Fernández-Sé Que Te Duele
"Camilo, Pablo Alborán - El Mismo Aire (Official Video)",CamiloVEVO,174663952.0,1630182.0,32142.0,True,True,268237254.0,Camilo-El Mismo Aire - con Pablo Alborán
Red Hot Chili Peppers - Dark Necessities [Official Music Video],Red Hot Chili Peppers,440037964.0,2094182.0,56516.0,True,True,385677873.0,Red Hot Chili Peppers-Dark Necessities
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",Bruno Mars,637673269.0,6925306.0,193397.0,True,True,1006100004.0,Silk Sonic-Leave The Door Open
Don Toliver - Cardigan [Official Music Video],Don Toliver,24139842.0,343353.0,6184.0,True,True,171091255.0,Don Toliver-Cardigan
System Of A Down - Prison Song (Music Video),Cesar Huchim,89046.0,1581.0,63.0,False,False,101333051.0,System Of A Down-Prison Song
Conduta - Nattan e Mari Fernandez (DVD AO VIVO),Nattan,14501095.0,93755.0,1539.0,True,True,7619551.0,Mari Fernandez-Conduta - Ao Vivo
Slipknot - Duality [OFFICIAL VIDEO] [HD],Slipknot,356487151.0,2211238.0,87719.0,True,True,525198814.0,Slipknot-Duality
"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",DrakeVEVO,74244853.0,796542.0,26241.0,True,True,501420741.0,21 Savage-Knife Talk (with 21 Savage ft. Project Pat)
Bon Jovi - Thank You For Loving Me (Official Music Video),BonJoviVEVO,2863878.0,35911.0,2422.0,True,True,78748335.0,Bon Jovi-Thank You For Loving Me
"Daniel Lozakovich – Bach: Violin Concerto No.1 In A Minor, BWV 1041: I. Allegro moderato",Deutsche Grammophon - DG,704861.0,11063.0,499.0,False,False,13955194.0,"Johann Sebastian Bach-Violin Concerto No. 1 in A minor, BWV 1041: I. (Allegro moderato)"
"Luis Miguel - ""La Bikina"" (Video Oficial)",Warner Music México,207911622.0,556658.0,24537.0,True,True,106123325.0,Luis Miguel-La bikina - En vivo
"Johnny Cash, June Carter Cash - Jackson (The Best Of The Johnny Cash TV Show)",JohnnyCashVEVO,11075667.0,82353.0,2655.0,True,True,90040515.0,Johnny Cash-Jackson
Aventura - Ella y Yo (ft. Don Omar),Aventura,438743286.0,1812391.0,28458.0,True,True,416761463.0,Aventura-Ella Y Yo - Featuring Don Omar
50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg,50CentVEVO,503248572.0,2759199.0,54805.0,True,True,446003044.0,50 Cent-21 Questions
Ludacris - My Chick Bad ft. Nicki Minaj,LudacrisVEVO,145181046.0,724771.0,31006.0,True,True,142416946.0,Ludacris-My Chick Bad
Hasi - Female Version - Hamari Adhuri Kahani|Official Bollywood Lyrics|Shreya Ghoshal,LyricGuruVEVO,12680162.0,126015.0,1582.0,True,True,42953279.0,Shreya Ghoshal-Hasi - Female Version
Kanye West - Bound 2 (Explicit),KanyeWestVEVO,105206228.0,1105989.0,129255.0,True,True,578115634.0,Kanye West-Bound 2
Metallica: Lux Æterna (Official Music Video),Metallica,14937918.0,473751.0,46230.0,True,True,20061385.0,Metallica-Lux Æterna
Ludovico Einaudi - Wind Song (Performance Video),LudovicoEinaudiVEVO,703698.0,18068.0,389.0,True,True,16169290.0,Ludovico Einaudi-Wind Song
Juanes - A Dios Le Pido (Official Music Video),JuanesVEVO,162772420.0,870329.0,18645.0,True,True,176365330.0,Juanes-A Dios Le Pido
